SKU,Photo,Brand,Type,Model #,Dial,Product Description,Price,# of links / screw,Paper,Date,Serial #,Box,Status,More Photos,Notes,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21
4625AEB,,AP,Preowned,15400or ,BLACK,AP RG BLACK,"$50,000.00",Rubber,With Card,,XX2086,With Box,In stock,more photos,,,,,,,,,,,,,,,,,,,,,
4153EB,,AP,Preowned,15500st ,BLACK,ROYAL OAK,"$37,500.00",Full Links,No Paper / Card,,XXXX19J,No Box Included / Box (additional $350),In stock,more photos,,,,,,,,,,,,,,,,,,,,,
8137U,,AP,Preowned,15707cb.oo.a010ca.01,WHITE,white ceramic diver on rubber ,"$43,500.00",Rubber,With Paper,20-Nov-2014,XXXX9508,With Box,In stock,more photos,,,,,,,,,,,,,,,,,,,,,
8691UE,,AP,Preowned,5402BA,CHAMPAGNE,ROYAL OAK CHAMPAGNE DIAL JUMBO ULTRA,"$68,500.00",6 screws,No Paper / Card,,XXXX757,No Box Included / Box (additional $350),Sold,more photos,retail ready and serviced  - original jumbo royal oak  ,,,,,,,,,,,,,,,,,,,,
4324EB,,AP,Preowned,,BLACK,ROYAL OAK OFFSHORE BLACK BLACK RUBBER,"$19,000.00",Rubber,No Paper / Card,,XXXX5541,No Box Included / Box (additional $350),In stock,more photos,,,,,,,,,,,,,,,,,,,,,
10923U,,AP,Preowned,26470OR.OO.1000OR.01,GOLD,ROYAL OAK OFFSHORE GOLD,"$55,000.00",,"With Paper, White Tag",18-Jul-2017,XXXX2936,With Box,In stock,more photos,"Complete set with box, book and white tag",,,,,,,,,,,,,,,,,,,,
9946U,,AP,Preowned,26470ST.OO.A101CR.01,BLACK/orange,ROYAL OAK OFFSHORE BLACK RED RUBBER,"$21,800.00",Rubber,With Paper,,XXXX505,With Box,In stock,more photos,- complete,,,,,,,,,,,,,,,,,,,,
10065,,Cartier,Unworn,WSSA0062,GREEN,SANTOS DE CARTIER WATCH GREEN LARGE SS / LEATHER STRAP,"$7,800.00",Full Links / Leather Strap,With Card,2026,XXXX28FY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10449,,Cartier,Unworn,WSSA0062,GREEN,SANTOS DE CARTIER WATCH GREEN LARGE SS / LEATHER STRAP,"$7,800.00",Full Links / Leather Strap,With Card,2026,XXXX836Y,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10936,,Cartier,Unworn,WSSA0062,GREEN,SANTOS DE CARTIER WATCH GREEN LARGE SS / LEATHER STRAP,"$7,800.00",Full Links / Leather Strap,With Card,2026,XXXX848GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
9997U,,BLANCPAIN,Preowned,5015 12B40 98B,BLUE,FIFTY FATHOMS ,"$13,800.00",Links,With Card,,XXXX94,With Box,In stock,more photos,,,,,,,,,,,,,,,,,,,,,
9627U,,BREITLING,Preowned,A32395101C1A1,BLUE,AVENGER AUTOMATIC GMT 45,"$2,600.00",Links,With Card,,XXXX022,With Box,In stock,more photos,,,,,,,,,,,,,,,,,,,,,
9459U,,BREITLING,Preowned,A77310101A2A1,SILVER,CHRONOMAT 32 SS SILVER STICK,"$2,350.00",,With Card,,XXXX433,With Box,In stock,more photos,,,,,,,,,,,,,,,,,,,,,
9833,,Bulgari,Unworn,102781,,SERPENTI DIAMOND BEZEL 2 LEATHER STRAP (WHITE / RED),"$3,850.00",Leather,With Card,24-Feb-2026,XXXX6YP,With Box,In stock,more photos,brand new 2026 complete ,,,,,,,,,,,,,,,,,,,,
10544,,Bulgari,Unworn,102099,BLACK,RG SS TWO TONE  SERPENTI TUBOGAS WATCH 35MM BLCK OPALINE DIAL DBL SPIRAL DIA CASE,"$18,900.00",,With Card,28-May-2026,079XXXXX,With Box,In stock,watch and card,brand new 2026 complete ,,,,,,,,,,,,,,,,,,,,
10599,,Bulgari,Unworn,103002,SILVER,RG SERPENTI TUBOGAS SILVER DIAL 2 LOOP ,"$46,000.00",,With Card,,BU4XXXX,With Box,In stock,watch and card,new fresh ,,,,,,,,,,,,,,,,,,,,
11117,,Cartier,Unworn,W2SA0016,SILVER,"SANTOS DE
CARTIER MEDIUM SILVER DIAL YG
BZ SS YG / LEATHER STRA","$10,900.00",Full Links / Leather Strap,With Card,2026,XXXX69FY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10478,,Cartier,Unworn,W2SA0033,SILVER,SANTOS DE CARTIER SMALL SILVER SUNRAY DIAL YG BZ SS YG,"$10,000.00",Full Links,With Card,2026,XXXX03GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10872,,Cartier,Unworn,W2SA0033,SILVER,SANTOS DE CARTIER SMALL SILVER SUNRAY DIAL YG BZ SS YG,"$10,000.00",Full Links,With Card,2026,XXXX47GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10719,,Cartier,Unworn,W2SA0046,SILVER,SANTOS DUMONT SS YG WATCH LARGE GRAY LEATHER STRAP ,"$6,250.00",Leather Strap,With Card,2026,XXXX20FY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
11060,,Cartier,Unworn,W2PN0018,SILVER,SS YG PANTHERE DE CARTIER SMALL,"$9,000.00",Full Links,With Card,2026,XXXX27GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
11045,,Cartier,Unworn,W2PN0018,SILVER,SS YG PANTHERE DE CARTIER SMALL,"$9,000.00",Full Links,With Card,2026,XXXX00GY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
11075,,Cartier,Unworn,W2PN0019,SILVER,SS YG PANTHERE DE CARTIER MEDIUM,"$10,200.00",Full Links,With Card,2026,XXXX97GY,With Box,Sold,watch and card,,11043,,Cartier,Unworn,W2PN0019,SILVER,SS YG PANTHERE DE CARTIER MEDIUM,"$10,200.00",Full Links,With Card,2026,XXXX28GY,With Box,In stock,watch and card,,,,,
11076,,Cartier,Unworn,W2PN0019,SILVER,SS YG PANTHERE DE CARTIER MEDIUM,"$10,200.00",Full Links,With Card,2026,XXXX27GY,With Box,In stock,watch and card,,11043,,Cartier,Unworn,W2PN0019,SILVER,SS YG PANTHERE DE CARTIER MEDIUM,"$10,200.00",Full Links,With Card,2026,XXXX28GY,With Box,In stock,watch and card,,,,,
11077,,Cartier,Unworn,W2PN0019,SILVER,SS YG PANTHERE DE CARTIER MEDIUM,"$10,200.00",Full Links,With Card,2026,XXXX26GY,With Box,In stock,watch and card,,11043,,Cartier,Unworn,W2PN0019,SILVER,SS YG PANTHERE DE CARTIER MEDIUM,"$10,200.00",Full Links,With Card,2026,XXXX28GY,With Box,In stock,watch and card,,,,,
11078,,Cartier,Unworn,W2PN0019,SILVER,SS YG PANTHERE DE CARTIER MEDIUM,"$10,200.00",Full Links,With Card,2026,XXXX30GY,With Box,In stock,watch and card,,11043,,Cartier,Unworn,W2PN0019,SILVER,SS YG PANTHERE DE CARTIER MEDIUM,"$10,200.00",Full Links,With Card,2026,XXXX28GY,With Box,In stock,watch and card,,,,,
9000,,Cartier,Unworn,W4BB0023,SILVER,SS BALLON BLEU DE CARTIER WATCH 33 MM SILVER DIAL DIA BZ SS STRAP,"$10,900.00",Full Links,With Card,17-Jul-2026,XXXX56EY,With Box,In stock,,,,,,,,,,,,,,,,,,,,,,
10934,,Cartier,Unworn,WGBA0024,SILVER,18K BAIGNOIRE WATCH SM  DIAL ROMAN SIZE 15,"$19,800.00",Bangle,With Card,2026,XXXX25GY,With Box,Sold,watch and card,SIZE 15,,,,,,,,,,,,,,,,,,,,
10933,,Cartier,Unworn,WGBA0025,SILVER,18K BAIGNOIRE WATCH SM  DIAL ROMAN SIZE 16 ,"$19,800.00",Bangle,With Card,2026,XXXX57GY,With Box,In stock,watch and card,SIZE 16,,,,,,,,,,,,,,,,,,,,
9858,,Cartier,Unworn,WGBA0050,SILVER,BAIGNOIRE YG MINI BANGLE size 17 ,"$16,000.00",Full Links,With Card,2026,XXXX76FY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10511,,Cartier,Unworn,WGBA0075,SILVER,"BAIGNOIRE
YG MINI BLACK STRAP ","$8,150.00",Leather Strap,With Card,22-May-2026,XXXX74GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10833,,Cartier,Unworn,WGBA0078,SILVER,"BAIGNOIRE
WATCH YG MINI BANGLE SIZE 16","$16,000.00",Bangle,With Card,30-Jun-2026,XXXX71GY,With Box,In stock,watch and card,SIZE 16,,,,,,,,,,,,,,,,,,,,
9046C,,Cartier,Unworn,WGPB0003,SILVER,PEBBLE-SHAPED WATCH YG LEATHER STRAP,"$150,000.00",Leather Strap,With Paper,25-Jan-2023,XXXX7150,With Box,Sold,more photos,- new old stock,,,,,,,,,,,,,,,,,,,,
10384,,Cartier,Unworn,WGPN0058,WHITE,PANTHERE DE CARTIER YG MEDIUM ,"$27,500.00",Full Links,With Card,7-May-2026,XXXX60GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10012,,Cartier,Unworn,WGTA0010,WHITE,TANK LOUIS ROSE GOLD SMALL BROWN  ALLIGATOR STRAP,"$12,000.00",Leather Strap,With Card,2026,XXXX21GY,With Box,In stock,,,,,,,,,,,,,,,,,,,,,,
10582,,Cartier,Unworn,WGTA0010,WHITE,TANK LOUIS ROSE GOLD SMALL BROWN  ALLIGATOR STRAP,"$12,100.00",Leather Strap,With Card,1-Jun-2026,XXXX04GY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
10991,,Cartier,Unworn,WGTA0342,WHITE,"18K YG TANK
LOUIS SMALL","$12,000.00",Leather Strap,With Card,21-Jul-2026,XXXX04GY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
10992,,Cartier,Unworn,WGTA0342,WHITE,"18K YG TANK
LOUIS SMALL","$12,000.00",Leather Strap,With Card,21-Jul-2026,XXXX44GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
11196,,Cartier,Unworn,WGTA0342,WHITE,"18K YG TANK
LOUIS SMALL","$12,000.00",Leather Strap,With Card,,XXX144GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
11053,,Cartier,Unworn,WGTA0352,GRAINED SILVER,"18K YG TANK
LOUIS MINI ON BLACK ALLIGATOR
STRAP","$8,150.00",Leather Strap,With Card,2026,XXXX95GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
